,std_AP_COM,std_ML_COM,std_vertical_COM,std_AP_vCOM,std_ML_vCOM,std_vertical_vCOM,max_AP_vCOM,max_ML_vCOM,std_vertical_aCOM,max_ML_aCOM,max_AP_aCOM,SS_duration_ratio,DS_duration_ratio,std_length,std_width,max_clearance,std_AP_COP,std_ML_COP,std_ML_vCOP,max_ML_vCOP,std_AP_vCOP,max_AP_vCOP,std_AP_aCOP,std_ML_aCOP,std_AP_xCOM,std_ML_xCOM,std_vertical_xCOM,mean_AP_MOS,mean_ML_MOS,std_AP_MOS,std_ML_MOS,mean_ML_SS_MOS,mean_ML_DS_MOS,max_ML_MOS,min_AP_MOS,min_ML_MOS,ROM_ML_MOS,mean_AP_IA,mean_ML_IA,std_AP_IA,std_ML_IA,target_performance
219,162.9349,3.9879,11.7897,290.0581,151.2329,381.5911,1597.4957,165.358,8589.5779,3613.5192,7077.7354,0.74,0.26,214.6185,15.1269,102.3976,0.058827,0.012532,1.4515,0.54031,4.7366,0.18127,1929.6171,566.6685,0.19096,0.024042,0.060924,-245.0451,-10.0384,140.5069,50.835,-29.5574,51.6003,91.0098,-485.4474,-90.9634,181.9732,-0.30193,3.5759,6.9565,0.38701,Bad
220,197.8917,8.2053,13.442,166.2884,190.5835,342.4886,2612.5888,261.9147,8977.62,5210.1293,6839.8994,0.86869,0.13131,212.4724,9.9874,90.6151,0.14301,0.032336,1.4265,2.8335,4.9253,3.2551,2586.0639,660.1696,0.18517,0.025328,0.054277,-281.9365,-31.5658,141.3211,40.3126,-40.4822,27.4195,77.7393,-599.1153,-87.7525,165.4918,-0.24375,-3.7148,6.4524,1.5105,Bad
221,197.549,9.9992,14.2797,196.0121,172.9192,346.8462,2525.0687,323.2471,8858.9125,3751.8978,8299.2097,0.85149,0.14851,211.3162,12.1358,119.2056,0.15783,0.03626,1.6869,12.7517,6.8374,10.2179,2535.6304,624.5121,0.17667,0.020752,0.054575,-258.6855,-7.0972,131.6158,35.3867,-17.4815,52.4396,84.2758,-554.3533,-60.2517,144.5275,-0.84707,2.417,6.8639,1.6599,Bad
222,195.7779,8.0302,12.0028,470.4816,119.2285,284.9146,554.9142,56.4088,7767.4174,4356.4182,52221.396,0.86,0.14,204.0286,5.1996,97.7939,0.018567,0.01638,0.9928,0.9633,1.1566,1.1444,561.6011,488.2745,0.15804,0.012382,0.044219,-294.4869,-16.2222,206.9985,39.3948,-27.1394,55.1594,100.2865,-803.7965,-81.3126,181.5991,13.8391,0.8865,1.5127,1.0641,Bad
224,94.9465,3.5306,10.2345,1148.6511,143.6662,191.6907,7907.2394,9.099,25310.8832,6785.5581,325530.3958,0.80198,0.19802,213.4206,14.1615,103.5288,0.18025,0.034896,3.3194,21.771,12.89,84.0554,11360.0749,2940.6917,0.15778,0.012935,0.020009,-312.1864,-19.4151,123.3902,69.4066,-53.2871,17.844,89.2415,-563.6627,-88.6339,177.8754,-5.5196,3.5354,5.3285,0.25122,Bad
225,198.3637,7.2096,11.8353,900.5561,272.8948,754.4769,6935.8353,519.0599,44345.6469,33143.9451,307304.6955,0.70297,0.29703,218.2298,12.7316,90.8566,0.19046,0.041452,3.0416,7.5611,12.3532,47.5096,11652.6232,2836.257,0.23075,0.016188,0.053755,-213.231,9.7788,134.4998,59.0935,-26.6276,83.8051,105.2908,-460.1222,-94.5785,199.8693,-0.58395,-3.0043,8.7818,2.1348,Bad
226,214.3194,9.3681,14.1218,339.6053,364.3404,783.2732,7204.7864,709.3469,46169.1938,20993.0038,38069.2295,0.68571,0.31429,219.7459,9.7852,102.2194,0.18041,0.03222,4.7934,35.5968,19.8048,145.9745,21225.9274,4941.5137,0.20319,0.018655,0.05355,-274.6567,-0.7235,204.8696,62.1002,-33.879,71.6157,105.8911,-874.2279,-99.377,205.2681,0.17534,2.2602,6.797,1.4891,Bad
227,195.9275,5.7438,13.3757,416.0396,408.0119,752.1914,7176.9378,726.0573,42520.4165,31075.6709,54009.4688,0.76768,0.23232,210.1003,10.9096,64.2553,0.13459,0.024804,2.0745,12.4249,8.6529,43.3323,11566.9061,3231.7387,0.1902,0.027679,0.050375,-297.6564,-28.4008,203.8536,52.3317,-44.467,24.6878,91.5606,-842.0316,-90.5222,182.0828,0.50787,-3.2461,6.6232,1.3064,Bad
228,204.4559,9.6217,14.617,185.8826,194.2721,363.0721,2546.8394,286.4772,8999.5386,4612.5714,7006.3461,0.83178,0.16822,214.396,9.9572,95.6088,0.14856,0.037109,2.3224,13.484,8.3835,4.4619,3572.2911,928.1576,0.19232,0.024356,0.057087,-250.8298,-11.8618,134.5159,42.2186,-24.208,49.1832,100.054,-563.2613,-92.5289,192.5829,-0.14375,-3.4825,7.4352,1.7013,Bad
229,205.881,11.2548,13.4476,166.0046,173.488,323.1019,2662.65,351.875,8217.8166,3453.2102,8680.3636,0.73077,0.26923,217.5294,12.3819,110.4974,0.14666,0.029841,1.4482,8.974,5.6462,9.6189,2524.9009,631.782,0.1915,0.018583,0.049047,-216.393,12.2403,100.725,47.1036,-11.7649,77.3973,101.9814,-459.4543,-77.8578,179.8392,-0.96978,2.7787,7.1681,1.281,Bad
