,std_AP_COM,std_ML_COM,std_vertical_COM,std_AP_vCOM,std_ML_vCOM,std_vertical_vCOM,max_AP_vCOM,max_ML_vCOM,std_vertical_aCOM,max_ML_aCOM,max_AP_aCOM,SS_duration_ratio,DS_duration_ratio,std_length,std_width,max_clearance,std_AP_COP,std_ML_COP,std_ML_vCOP,max_ML_vCOP,std_AP_vCOP,max_AP_vCOP,std_AP_aCOP,std_ML_aCOP,std_AP_xCOM,std_ML_xCOM,std_vertical_xCOM,mean_AP_MOS,mean_ML_MOS,std_AP_MOS,std_ML_MOS,mean_ML_SS_MOS,mean_ML_DS_MOS,max_ML_MOS,min_AP_MOS,min_ML_MOS,ROM_ML_MOS,mean_AP_IA,mean_ML_IA,std_AP_IA,std_ML_IA,target_performance
0,213.4662,8.835,14.6141,295.8255,180.9047,330.0996,2272.8799,470.954,14117.9315,78792.6019,119976.9376,0.85981,0.14019,230.274,19.9427,148.822,0.16012,0.041135,2.5551,23.3412,7.6878,3.057,3260.3706,1070.0913,0.21339,0.023913,0.054011,-316.1823,-33.4165,166.0671,53.7781,-52.1157,81.2715,127.8841,-704.6114,-98.0258,225.9099,1.264,4.6668,7.9475,2.1534,Good
1,213.5305,2.9755,13.6819,281.6698,153.5744,311.0343,2318.2098,306.5292,19403.6269,229902.8731,85205.6695,0.60377,0.39623,225.83,22.6035,131.2245,0.17906,0.040463,2.9095,1.4785,9.193,4.2557,4532.9321,1420.7729,0.20215,0.024838,0.051294,-241.5043,-0.59554,90.7173,77.7545,-51.1316,76.4117,134.5472,-468.1059,-126.8227,261.3699,1.1772,-4.6563,8.0284,2.4178,Good
2,205.2074,5.9922,13.211,286.7895,136.7172,293.6041,2108.8232,364.3952,19200.1215,137910.9356,84256.4582,0.87156,0.12844,226.0876,19.0583,158.764,0.049606,0.034165,4.6749,48.0839,4.2641,0.10213,16508.0521,2610.2011,0.20146,0.018502,0.047838,-351.8558,-37.9351,217.6428,43.1232,-47.4966,26.9468,98.6447,-895.3213,-115.8622,214.5069,21.1584,-6.5745,2.6338,1.1421,Good
3,215.8366,5.4087,14.684,240.637,170.3688,371.8024,3568.5125,402.4977,20951.3061,156909.7872,93145.9059,0.61321,0.38679,225.339,15.7322,118.2715,0.15728,0.039275,2.5403,21.3275,6.9578,59.8856,3041.5046,1086.1186,0.21785,0.022074,0.056193,-261.94,3.4496,104.2567,76.7842,-45.884,81.6614,132.0445,-505.5675,-119.4112,251.4558,-2.8516,4.3927,7.4854,2.176,Good
4,207.8313,5.5818,13.5413,335.7397,131.9642,340.5659,3722.7436,391.4783,16869.8264,229196.4708,101180.0032,0.84906,0.15094,228.9883,21.2631,145.0239,0.1703,0.040133,2.7426,4.3599,9.3319,77.4863,4492.233,1310.4829,0.20588,0.016646,0.050996,-358.3025,-28.0463,226.2927,54.4568,-48.2196,85.4286,116.4154,-947.0555,-109.1963,225.6116,-1.5906,-4.7489,7.9923,2.2845,Good
5,199.9882,3.4216,12.5784,343.1701,184.446,336.4686,2560.4145,373.2565,19348.7977,94090.0405,192935.0494,0.6729,0.3271,215.7354,21.3813,118.2779,0.16291,0.038712,3.1315,2.3371,8.729,5.991,4993.4433,1757.0697,0.19109,0.024644,0.045975,-225.4092,-0.69144,94.8747,77.7103,-48.2134,97.0681,136.3898,-458.1322,-109.5961,245.9859,1.0002,-4.4508,7.2342,2.2706,Good
6,197.4564,6.9225,12.0306,301.0462,185.4958,323.8761,2511.2715,517.7387,25145.1342,273320.8689,117576.7622,0.84259,0.15741,212.244,24.9777,129.4134,0.15924,0.040171,2.6875,20.0799,7.3982,11.7699,3553.3362,1266.4356,0.18969,0.020309,0.04363,-282.0842,-29.0703,142.4978,57.3871,-52.8116,98.016,122.2845,-623.8294,-116.0753,238.3598,1.0425,4.5604,6.9139,2.1462,Good
7,188.9567,4.5533,11.1962,325.3743,132.9406,304.801,2291.959,397.4985,18733.5658,249181.9669,231785.286,0.82407,0.17593,207.8737,25.2476,112.3229,0.029431,0.022385,1.3988,2.6388,1.888,3.4281,920.1438,689.2576,0.17986,0.015258,0.042204,-300.7958,-18.3168,184.9718,53.4826,-34.8615,59.1821,121.0188,-838.3627,-110.2447,231.2636,15.5593,1.9697,0.71201,1.7694,Good
8,203.7864,3.2961,12.1414,260.9856,151.8701,311.9411,3475.4652,365.3141,16004.445,263261.3118,113743.0356,0.60185,0.39815,215.8239,16.6313,118.7965,0.16084,0.034639,2.3438,19.9572,7.1811,62.6853,3287.0632,1049.3906,0.19839,0.022207,0.046409,-225.812,0.99868,89.3155,68.3775,-33.9635,53.8485,120.7802,-444.4107,-117.1062,237.8863,-2.2229,3.605,7.1269,2.0725,Good
9,206.7172,6.0605,12.7767,325.1587,177.7568,316.6735,3565.4366,403.8455,17280.8758,181383.3485,216256.4349,0.76991,0.23009,220.8539,18.8733,136.0623,0.20584,0.049741,1.7166,0.20172,5.9672,25.8807,895.5901,271.6279,0.19695,0.021704,0.044991,-320.9294,-23.0656,213.474,56.5345,-43.1649,44.1897,123.497,-887.6212,-110.85,234.347,-3.2029,-3.7038,9.0735,2.805,Good
