,std_AP_COM,std_ML_COM,std_vertical_COM,std_AP_vCOM,std_ML_vCOM,std_vertical_vCOM,max_AP_vCOM,max_ML_vCOM,std_vertical_aCOM,max_ML_aCOM,max_AP_aCOM,SS_duration_ratio,DS_duration_ratio,std_length,std_width,max_clearance,std_AP_COP,std_ML_COP,std_ML_vCOP,max_ML_vCOP,std_AP_vCOP,max_AP_vCOP,std_AP_aCOP,std_ML_aCOP,std_AP_xCOM,std_ML_xCOM,std_vertical_xCOM,mean_AP_MOS,mean_ML_MOS,std_AP_MOS,std_ML_MOS,mean_ML_SS_MOS,mean_ML_DS_MOS,max_ML_MOS,min_AP_MOS,min_ML_MOS,ROM_ML_MOS,mean_AP_IA,mean_ML_IA,std_AP_IA,std_ML_IA,target_performance
218,206.5566,9.4735,12.6087,140.0873,154.9933,317.1625,3089.7034,384.7231,12967.3686,40758.6257,62829.3855,0.99048,0.0095238,213.7421,16.8553,92.433,0.16291,0.036569,1.4059,8.2824,5.5367,32.4073,1818.0721,465.7177,0.19705,0.017753,0.049776,-467.4108,-39.6274,249.4767,31.3089,-40.6833,70.1798,70.1798,-836.3576,-108.722,178.9017,-0.18326,2.7052,6.7752,1.6888,Bad
219,157.2792,3.4566,11.0142,91.3937,146.7875,359.1358,2644.5526,290.6135,11527.7432,54718.5534,85879.3487,0.74,0.26,214.6185,15.1269,102.3976,0.058827,0.012532,1.4515,0.54031,4.7366,0.18127,1929.6171,566.6685,0.15969,0.023062,0.056506,-251.8068,-8.8635,108.811,53.7483,-31.3883,62.2677,96.3859,-484.1146,-94.2876,190.6734,0.12368,3.6543,6.634,0.43009,Bad
220,198.5079,7.3436,11.7105,159.295,173.5719,302.1158,2596.4415,219.0262,12024.2277,40645.6154,41917.3603,0.86869,0.13131,212.4724,9.9874,90.6151,0.14301,0.032336,1.4265,2.8335,4.9253,3.2551,2586.0639,660.1696,0.18399,0.023016,0.047764,-281.9612,-28.0932,141.4345,45.8347,-42.53,67.4116,87.7038,-590.9576,-87.2983,175.0021,-0.25668,-3.8056,6.4765,1.5467,Bad
221,198.0273,9.1177,12.4357,188.5366,160.2358,305.7469,2477.5662,361.2658,12025.1999,37852.7248,49253.0503,0.85149,0.14851,211.3162,12.1358,119.2056,0.15783,0.03626,1.6869,12.7517,6.8374,10.2179,2535.6304,624.5121,0.17709,0.019151,0.048088,-258.5374,-7.6802,133.9312,37.0467,-19.9643,62.7486,89.7259,-549.9048,-57.1948,146.9207,-0.86965,2.4974,6.8882,1.6971,Bad
222,190.6834,7.5969,10.6117,145.7971,118.3658,269.2759,2461.0453,117.907,12588.596,43392.5097,84766.983,0.86,0.14,204.0286,5.1996,97.7939,0.018567,0.01638,0.9928,0.9633,1.1566,1.1444,561.6011,488.2745,0.17239,0.013218,0.042272,-299.2846,-14.0579,195.8728,40.8884,-28.1955,78.3803,91.6712,-807.1238,-82.5167,174.1879,13.8379,0.88862,1.5256,1.0774,Bad
224,86.2446,3.0401,9.8496,246.5942,153.0838,230.9261,7192.1703,99.9316,45881.2762,143019.4858,540431.6485,0.80198,0.19802,213.4206,14.1615,103.5288,0.18025,0.034896,3.3194,21.771,12.89,84.0554,11360.0749,2940.6917,0.10063,0.013009,0.022363,-295.4453,-6.3577,125.9343,73.2889,-52.3084,44.1882,95.8128,-485.6866,-92.9538,188.7666,-5.63,3.5492,4.791,0.22033,Bad
225,197.4624,6.6646,10.9226,352.6579,309.7051,711.2778,7381.2233,429.8307,66837.809,397755.2511,459141.0835,0.70297,0.29703,218.2298,12.7316,90.8566,0.19046,0.041452,3.0416,7.5611,12.3532,47.5096,11652.6232,2836.257,0.18218,0.01741,0.04996,-227.7754,5.1669,104.7196,60.1244,-27.3055,71.194,111.0719,-460.0609,-107.2066,218.2786,-0.89591,-3.0617,8.409,2.1528,Bad
226,214.5327,8.5679,12.2027,330.1661,334.4748,688.6765,7366.7106,745.2666,66141.034,306691.5511,262184.9412,0.68571,0.31429,219.7459,9.7852,102.2194,0.18041,0.03222,4.7934,35.5968,19.8048,145.9745,21225.9274,4941.5137,0.20252,0.01705,0.04702,-274.2221,-7.5076,208.067,64.8294,-36.9461,56.7219,109.6328,-878.4916,-99.9467,209.5795,0.18597,2.3246,6.8017,1.5185,Bad
227,194.3875,5.0605,11.5672,387.2565,370.7728,666.7731,7263.7597,835.6496,56203.5565,316110.6085,298333.2107,0.76768,0.23232,210.1003,10.9096,64.2553,0.13459,0.024804,2.0745,12.4249,8.6529,43.3323,11566.9061,3231.7387,0.17653,0.025071,0.044711,-288.4757,-20.8114,210.7377,59.0642,-47.0476,65.8821,101.2931,-846.8147,-94.2059,195.499,0.6023,-3.3251,6.5122,1.3303,Bad
228,205.3462,8.689,12.5414,167.1121,177.8973,315.2002,2549.2526,251.6421,12138.561,47382.7412,44917.3263,0.83178,0.16822,214.396,9.9572,95.6088,0.14856,0.037109,2.3224,13.484,8.3835,4.4619,3572.2911,928.1576,0.19267,0.022226,0.049661,-251.4186,-17.67,136.819,42.9,-26.8823,27.8797,104.2634,-557.9246,-101.5118,205.7752,-0.14503,-3.5707,7.4842,1.7469,Bad
